,Description,ASIN,Product Description,Manufacturer
256,"   Care Instructions: Hand Wash Only    3 Large Compartments, 1 Easy access front Pocket with organizer section & 2 mesh side pocket<br>    Outer Fabric: Durable PU coated Polyester Fabric, inner abric: Strong PU coated polyester fabtic, Hip Strap : No<br>    Well cushioned Laptop compartment for upto 15.6 inch Laptop and spacious enough to carry for two days cloths<br>    Weight: 800gm; Dimensions: 13.00x18.75x9.50 inches (WxHxD)<br>    Strap Type: Adjustable; Pattern Name: Solid; Closure Type: Zipper; Warranty Description: 1 Year Warranty Against Manufacturing Defects.; Pocket Description: Utility Pocket; Style Name: Casual; Compartment Description: Up To 15 Inches; Water Resistance Level: Waterproof; Age Range Description: Adult<br>    
",Ambrosia Bags," 
 Stylish and Durable Spacious Laptop Backpack for Travel Killer LOUIS 15.6 inch laptop backpack is made of High grade water resistance PU coated polyester material that gives it strength and makes it durable for long-term use. It features 3 large well padded zippered compartments and One large easy access front pocket. Well padded laptop section fits upto 15.6 inch laptop, middle compartment is big enough to hold your office or weekend trip cloths or daily use belongings, front compartment with organizer section is to keep all official documents and small electronic gadgets, you can use it to store the charger, mouse, pen drive, notepad, pen and other essentials it also has one front zippered pockets for easy access items,. Killer LOUIS backpack features two mesh side pockets, where you can keep your water bottle or any other item for an quick access. Waterproof large Laptop Backpack Bag. Killer LOUIS laptop backpack is perfect laptop bag for you, its cushioned laptop pocket keep your laptop securely tight and protected while you are on the move. This laptop bag pack suits your style & is very comfortable to carry, its ergonomics and makes you forget the load you are carrying, well-padded shoulder straps ease the carrying Outer Fabric: Durable PU coated Linen Polyester Fabric. Compartments & Pockets: 3 main compartment, One front Pocket, Two side mesh pockets. Compatible laptop Size: Upto 15.6 inches. Weight: 800gm; Dimensions: 13.00x18.75x9.50 inches (WxHxD).  ",: ‎ 1 April 2018
257,"   LARGE CAPACITY - Travel laptop backpack for men for large storage and organization for small items.; COMFY&STURDY: Comfortable airflow back design with thick but soft multi-panel ventilated padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on<br>    DIMENSION AND DURABLE MATERIAL- Size of large backpack: 19 x 6 x 13 (inch) perfect to throw under your seat on an airplane when you are traveling or on business trip. Capacity: 42 L<br>    The back-luggage strap can help you fasten the carry-on backpack to your luggage/suitcase. It's a travel gift for men and an accessory for international airplane travel and day trip.<br>    DURABLE MATERIAL& SERVICE SUPPORT: Made of polyester with high quality smooth zippers and reinforced stitching for Long lasting durability. multi-functional work bagpack to carry on items, college/high school big student backpack for boys, girls, teens, adults<br>    Compartment Description: Up To 17 Inches; Style Name: Travel Backpacks; Pattern Name: Solid; Water Resistance Level: Water Resistant<br>    
",: ‎ UB9008BK,unknown,B099FFLQ5Q
258,"   MADE IN INDIA : We Made this Elegant Laptop Bag in Our own Factory located in Mumbai. We offer 1 Year Manufacturer Warranty FREE NO-TOUCH DOOR OPENER: This Door Opener Keychain can be used to avoid touching surfaces contactless. Use it on door handles, ATM keypads, elevators, retail checkout payment pads etc<br>; Closure Type: Zipper Snap; Age Range Description: Adult; Pattern Name: Solid<br>; Pattern Name: Solid; Closure Type: Zipper Snap; Age Range Description: Adult<br><br> <br>    Water Resistance Level: Water Resistant; Strap Type: Adjustable Handle; Warranty Description: Cosmus Branded Backpack Comes With One Year Manufacturer Warranty.; Style Name: Casual Backpack<br><br> <br>    Special Features: Usb Port; Lining Description: Polyester; Material Type: Polyester <br>    
› See more product details ",unknown,unknown,unknown
259,"   Water Proof with attached Rain cover.    Reflective Printing and in Built Laptop sleeve    3 compartment, 1 pockets and 2 Bottle pouch.    Comes with the F Gear promise of quality.    Size(Hxlxw)Cm-(50x31x21)    
",F Gear," 
 Well if you are looking for a big bag which is also very Stylish, Durable, Waterproof with a Laptop in built sleeve then your search ends here. Yes you Got it Right!, This F Gear bag has three big compartments to boast of along with a huge horizontal pocket in the front and two bottle holders on both sides of the bag. It has an inbuilt Rain cover neatly tucked away in a concealed pocket along with Reflective Strips and Reflective Printing makes it a natural choice for rainy Season. Support at the base makes it suitable for rough/dirty terrains. Padded Shoulders and Back with Side Compression straps completes the picture. Comes with the F Gear promise for quality.  ",: ‎ 26 July 2017
260,"   INNOVATIVE DESIGN: Utility of a Messenger Bag with Convenience of a Laptop Sleeve. Built with Premium Waterproof Nylon with Impact Resistant Foam Cushion & Soft lining which prevents scratches.    CONVENIENT & COMFORTABLE: 1 Main compartment with attached Laptop Sleeve. 2 Front Zipper Pockets to organize accessories such as Charger, Power bank, Phone, Tablet, cable, Pen, Notebook, etc.    KEEPS YOUR BELONGINGS SAFE: This Hand Bag is made of Soft and Environmental Friendly Material with Reinforced Edges. Soft Padding of the Main Compartment offers Protection to your laptop.    TRAVEL FRIENDLY: It Comes with Adjustable & Removable Shoulder Strap for easy Portability. It can be carried as a Briefcase or carried as a Sling Bag as per convenience. It also comes with a Trolley Strap which makes it perfect for Business Travel.    WIDELY COMPATIBLE : Made In India with 6 Months Warranty. Designed for most 15.6"" Laptops and Ultrabooks    
› See more product details ",unknown,unknown,unknown
261,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" Laptop, Tablet Sleeve; Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Gadget Pocket; Internal Organiser    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BRMWDNZ7," 
",Acefour Accessories Pvt. Ltd.
262,"   CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Pink and Grey, Water resistant: Yes <br>    PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 41 cm, Capacity: 16L, Fits up to a 15.4” laptop <br>    MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve. <br>    HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access; MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI) <br>    Compartment Description: Up To 16 Inches; Pattern Name: Solid; Color Name: Modern Love; Lining Description: Polyester; Closure Type: Zipper; Warranty Description: 12 Months Warranty; Age Range Description: Adult <br>    
",Designed By Mokobara Lifestyle Private Limited," 
",: ‎ 13 January 2021
263,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded anti-theft laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Pocket under flap and 2 mesh pocket inside main compartment with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BR1C59R8," 
",Acefour Accessories Pvt. Ltd.
264,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage    Right sized with sturdy stitching; Dimension: (28.2 cm x 14.1 cm x 42.2 cm); Warranty: 750 days international warranty    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)    Padded laptop compartment fits up to 14”, Back padding with Air mesh; Front access pocket for you to easily carry important small items with two bottle holders on the sides    
",B0BWNCV31F," 
",Acefour Accessories Pvt. Ltd.
265,"   CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Pink and Grey, Water resistant: Yes <br>    PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 41 cm, Capacity: 16L, Fits up to a 15.4” laptop <br>    MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve. <br>    HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access; MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI) <br>    Compartment Description: Up To 16 Inches; Pattern Name: Solid; Color Name: Modern Love; Lining Description: Polyester; Closure Type: Zipper; Warranty Description: 12 Months Warranty; Age Range Description: Adult <br>    
",Designed By Mokobara Lifestyle Private Limited," 
",: ‎ 13 January 2021
266,"   The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps, This makes this product a suitable alternative to bulky and unsightly backpacks, The compact design of this backpack helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease    Utility - Black color backpack for men for stylish office use as well as for trendy college and school students. Huge compartment size that can fit up to a 15.6 inch laptop with ease, Multiple pockets for other accessories and water bottle. Padded Handle provided on top of the bag as well as padded shoulder straps provided to ensure comfort and ease while carrying this backpack.    Make - Made of extremely light weight fabric but do not let that fool you as it is one of the most durable fabrics and can easily take all the weight you stuff inside this bag comfortably.    Capacity: 25 liters; Weight: 440 grams; Dimensions: 30 cms x 19 cms x 42 cms (LxWxH)    Warranty: 10 Days No Questions asked Return Policy. 1 Year Manufacturer Warranty Against Manufacturing Defects.    
",B07MXM5M99," 
 Meticulously designed to provide a perfect fit. Offers a premium quality material that ensure durability  ",Fur Jaden
267,"   Messenger Cross Body Bag: Handbags are considered as a fashion statement and also is a great utility. Hand bags can be used to carry important personal belongings which are needed on a daily basis. Hand Bags are very important in completing the outfit. They can be used to improve your appearance, and you can actually convey the look you want others to perceive simply by adjusting your appearance.    Lightweight and Premium Leather: This is high quality classic genuine leather messenger bag from Wild Horn. Featuring an elegant design, hand stitched, dyed and aged messenger bag is long-lasting, light weight and a fine quality genuine leather product.    Adjustable Strap <br>: This bag comes with an adjustable strap. They are great if sometimes you would like to wear your bag on your shoulder and other times you want to wear it across the body. You can just change the length to suit the need.    Dimensions and Ideal Application: This messenger bag has main interior compartment with flap top closure for added security and a fully lined interior that includes zip pocket and slip pockets for organization. One rear zip pocket. The compartment has dedicated space for, I pad, tablet, phone & other small accessories. (DIMENSION: L- 10.05inch H- 11.5inch W- 3inch)    
",B09QLD9GJY,unknown,BROGBUS
268,"   Laptop Compatible, Rain Cover, Cushioned Shoulder strap & Fabric Bottle Holder on the side    
",B0B4DTMVXY," 
 Ideal for a working professional travelling to work by bus, train, cab etc. Laptop compatibility & professional looking backpack. Professional & Stylish 2 Main Compartments 1 Front Pocket , Multi level organiser Laptop Compatible, Rain Cover, Cushioned Shoulder strap & Fabric Bottle Holder on the side  ","VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
269,"   TRAVEL BACKPACK WITH USB CHARGING PORT:Built-in USB charging cable, more convenient to carry, and you don't need to worry about lower battery for your phone. Charge to your phone anytime and anywhere. <br>    DURABLE AND WATERPROOF WEEKENDER BACKPACK: BANGE backpack is made of high quality water resistant Oxford cloth. It is durable and anti-scratch. It's your best partner in your casual use. <br>    LIGHTWEIGHT AND COMFORTABLE MEN BACKPACK:Very light weight to carry. Shoulder strap and back are made of breathable mesh padded that can provide you all day comfort.; Multi STORAGE POCKETS:Front side pocket is convenient for various small items. Large compartment is great for 15.6"" laptop?camera?power bank?water bottle?Notebook?pens. <br>    ULTIMATE CUSTOMER SERVICE: Every travel backpack was passed multiple strict quality control. But if you have any problems, please feel free to contact us, we provide Lifetime Warranty Service. <br>    Lining Description: Polyester; Style Name: Travel Backpacks; Age Range Description: Adult; Pattern Name: Solid; Closure Type: Zipper <br>    
",B0B9WX3QD8,unknown,Encon Impex Pvt Ltd
270,"   Outer Material: Polyester, Color: Blue    Water Resistance: Water resistant; Dimensions: 35 cms x 19 cms x 47 cms (LxWxH)    Front pocket and front-top pocket for easy access to documents and travel liquids; main upper packing compartment with organizer, expandable storage space, and key clip; hide-away water-bottle pocket; tuck-away I pocket    Number of compartments: 2    Laptop Compatibility: Yes, Size: 16 inches    Light Weight    Durable    
   Padded Shoulders Warranty Type: Manufacturer; 5 years domestic warranty   Show More  ",Wildcraft," 
 The double compartment laptop bag has a padded sleeve for your laptop, an internal organiser and quick access pockets to store your essentials and accessories. With a side mesh pocket for your sipper or water bottle, the backpack has a Ventex back system that reduces perspiration. With ample support from the well cushioned back and a padded quick grab haul loop, this backpack is ideal for everyday use and for travel upto 2 days.  ",: ‎ 23 July 2015
271,"   Either Trekking bag or Backpack, Dual loops for holding ice axes    Large zippered main compartment with laptop sleeve up to 16 inches    Adjustable straps fit perfectly over the shoulders    Size-(LxHxW) Cm-(27x49x21) Cm    It comes with the F Gear promise of quality. Note: There might be minor color variation between actual product and image shown on screen due to lighting on the photography    
",Uber Fashion Merchandise Pvt. Ltd.," 
 Well if you are looking for a backpack which is sleek, fashionable and can also be used as a trekking bag your search ends here. fortune from f gear can be used either as an everyday backpack or a small sized trekking bag. it has one huge compartment with a laptop sleeve. this can be used for books, clothes or any bulky items. apart from this there is one more compartment and two big pockets with organizer. it has two bottle holders, two finger loops and chest straps for comfort wearing. dual loops for holding ice axes present. padded shoulder straps and padded back add to it. side compressor straps maintain the sleek look of a fully filled bag. you definitely will love using this bag. comes with the f gear promise of quality.  ",: ‎ 4 March 2018
272,"   ➧ PREMIUM MATERIAL: This stylish executive laptop messenger bag is made of high-quality water-resistant Vegan Leather. For the inner lining, we use soft feel premium quality polyester fabric.    ➧ CONVENIENT DESIGN: This sleek bag is provided with spaced compartments to store laptop size up to 15.6 inches, files, folders, diary, laptop charger and other essentials. It also has an easily accessible outer compartment with an organizer to hold your mobile, visiting cards, pen, earphones, etc. Dimensions are (L) 41 x (W) 8.5 x (H) 31 cm. Perfect for MacBook Air, Chromebook, iPad, tablet, MacBook Pro, etc.    ➧ REINFORCEMENT MATERIAL: Quality of any bag is not only contributed by a classic material but also by the use of high-quality metal fittings and reinforcement materials to provide maximum safety to your belongings. We use high-quality metal zippers and slider in all our products. It also comes with an adjustable shoulder strap with a soft cushioned pad to ease your fatigue on the go.    ➧ CONVENIENCE: It is a practical business messenger bag for men and women, perfect for carrying a laptop, notebook, file and essential accessories while working or travel. A very popular bag among professional and office executives.    ➧ ONE YEAR WARRANTY: We all know Leatherette products can be used for many years if handled carefully. The Clownfish offers a one year warranty on the product against any manufacturing defect. You just need to keep your invoice safe and write to us.    
",The Clownfish,unknown,: ‎ 31 January 2018
273,"   * ROOMY ENOUGH : TRUNKIT bags is ultra lightweight comes with one main compartment having the capacity of approx 60 Ltr, big enough to carry 17 inch laptop, books, clothes, camping gear; with front pocket, top zipper pocket and two side net pouch pockets along with two adjustable compression straps above in order to adjust the width of the bag as per your requirement. Makes it a perfect Day Backpack<br><br>    * SHOE COMPARTMENT : This bag having a SEPARATE SHOE COMPARTMENT attached in the front just below the upper front pocket which is quiet big to put a pair of shoes very comfortably without having second thinking about your these types of belongings.<br><br>    * ADJUSTABLE BELTS : This Backpack comes with tactical military style 8 adjustable straps which all helps you be very comfortable while travelling. Padded waist belt along having sufficient length, width of 8 cm with attached adjustable buckle which is comfortable enough to fit on your waist for better balance while travelling.<br><br>    * MULTIPURPOSE RUCKSACK : Good to go for hiking, trekking, overnight trip, camping or biking. Men & women can use this Heavy Duty Hiking Backpack for Travelling, hunting, camping, trekking. This rucksack comes with outer and inner polyester fabric which is water resistant.<br><br>    Age Range Description: Adult; Style Name: Asian; Strap Type: Shoulder Strap<br>    
",: ‎ Bulk-Yellow," 
 SHOE COMPARTMENT : This bag having a SEPARATE SHOE COMPARTMENT attached in the front just below the upper front pocket which is quiet big to put a pair of shoes very comfortably without having second thinking about your these types of belongings.  ",B09NRVW114
274,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material, Wrinkle free bag and 3x more water resistant with Rainproof zippers    
",B0B81YTTWS," 
",Acefour Accessories Pvt. Ltd.
275,"   Closure: Zipper    PREMIUM MATERIAL: This stylish chest bag is made of waterproof TPU material. Comes in a shell structure with a front Rhombus design.    ORGANIZED DESIGN: Spaced compartment with one separate soft sleeve to hold iPad, phone, or notebook. Spacious enough to store accessories like a camera or short trip essentials. Multiple organized pockets to hold money wallet, power bank, mobile, charger, pens, cable, etc. Soft adjustable single shoulder strap to relieve the stress of shoulder. A strong sturdy handle to carry the bag with ease.    USB FEATURE: External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.    DIMENSIONS: 19 cms x 16 cms x 33 cms (LxWxH). The weight of the bag is 0.48 KG.    Outer Material Type: Synthetic    
",: ‎ BG7213," 
",B09VGNTDRZ
276,"   Laptop Compatibility: Yes, Laptop Size: 17 inches    Outer Material: Polyester, Color: Black    Weight: 1.20 grams; Dimensions: 53 cms x 32 cms x 27 cms (LxWxH)    Number of compartments: 1; Warranty type: Manufacturer; 18 months    Closure Type: Zipper; Special Features: Back Padding; Pocket Description: Utility Pocket; Age Range Description: Adult    
",Safari Industries (India) Ltd," 
 Meet seek! One of its kind of an overnighter backpack. It has a unique luggage like opening or we can also call it book opening. It is expandable up to 5 cm as well. Made out of pvc fabric, it has got a very elegant look. On the inside cross packing straps are provided to help you pack well. Also there is a convi pack available like the one available in luggage's. It has a 17"" laptop compatible section and also a tablet section. It has a capacity of 45 liters hence it is provided with load stabilizers on shoulder straps like the one's available in rucksacks. A perfect bag for a leisure or an official trip of 2-3 days.  ",: ‎ 5 April 2018
277,"   【DIY Crossbody Bag】Rich color label patterns give the bag unique freedom, go out at any time with fashionable satchel bag. It can hold cell phones, small toys, candy, credit card, etc.    【Special Designs】Shoulder Camera Bag have large capacity, easy zipper closure, adjustable shoulder strap freely. Crossbody Purse with 6pcs Carton Tag    【Safe Material】The soft and environmentally friendly material is made of PVC+EVA+Polypropylene Webbing. Comfortable hand feel with fine surface workmanship, durable and dirt-resistant.    【Top Gifts for kids】Perfect for 3 + years old boys, girls, niece, granddaughter, grandson,etc. Nice xmas gifts, birthday gifts for kids, best birthday presents and Christmas gifts for kids.    Durable and Dirt-resistant: Cute Shoulder Handbag are easy to clean and durable. If the chocolate and ice cream dirty the bags, don’t worry, take one wet cloth and wipe it away and do not need to wash.(Attention: Please do not scratch the surface of the bags with sharp object.    
",: ‎ 65846,unknown,B0B4G8W6MQ
278,"   Closure Type: Zipper; Strap Type: Adjustable; Age Range Description: Kid; Warranty Description: No Warranty; Style Name: Daypack Backpacks; Color Name: Blu-Wht; Water Resistance Level: Water Resistant    
",Rushi Enterprise,unknown,: ‎ 28 August 2018
279,"   Both Professional and Stylish    Large zippered main compartment with laptop sleeve up to 17”.    Adjustable straps fit perfectly over the shoulders    Size-(LxHxW) Cm-(31x46x21) Cm    It Comes With the F Gear Promise of Quality    
",Uber Fashion Merchandise Pvt. Ltd.," 
 If you have loads to carry around your search ends here. Here comes a bag which has three huge compartments. Designed keeping in mind the school children with loads of books apart from lunch boxes, water bottles and projects. This bag fits all. A very sturdy and strong bag comes with two bottle pouches and a stationery organizer. Laptop compartment also present. It can also be used as an overnight or a travel backpack for a few days. Comes with the F Gear promise of quality.  ",: ‎ 14 June 2017
280,"   Perfect for your regular office or college as well as travel use. Organize, protect and carry your laptop & Tablet, and essentials. Dimension = L 32 x H 44 x W 17 cm, Capacity = 24 L, Weight = 590 GMS    EXTERNAL USB GATE: Quick Charging Access –Imagine a scenario you are traveling and boom! Your phone battery is at 5%. Don’t panic now you can charge on the go anytime, anywhere with quick access charging.    LAPTOP FRIENDLY: Dedicated Laptop Compartment with Integrated Pocket for power bank with cushioned cradle & strong strap Velcro lock which can safely accommodate up to a 15.6'' inch laptop.    DETAILED ORGANIZER: Comes with 2 front zippered pockets and 2 large compartments. The first compartment comes with an internal organizer that keeps in place your essentials like phone charger/power bank, passport, separate Id card/visiting card holder, stationery & other valuable knick-knacks.    SPACIOUS: This compartment can hold notebooks and journals for your college or clothes and additional supplies for a weekend trip also in the same compartment it has a dedicated zippered pocket to keep your files/papers safe.    
",: ‎ HB1207BLACK,unknown,B09D3YYYNG
281," 
 About this item    Care Instructions: Machine Wash    Convenient – Our wet bags are great for carrying diapers, dirty gym clothes and wet swimsuits; not just for wet stuff - these bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more    Reuse And Reduce Waste – The better alternative to single-use plastic bags, our bags are made of Chic Buddys' original waterproof fabric that’s both soft and strong (although fabric is waterproof, bags are not completely leakproof due to zippered closure)    Waterproof – Chic Buddys’ original fabric is 100% polyester with embedded TPU for waterproofing and our heat-sealed seams keep the mess where it belongs - inside the bag    Lots Of Uses – Not just for wet stuff - these bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more! With a snap handle, snap your bag wherever you need it - stroller, changing table or suitcase    Easy-To-Clean – Wipe small messes; hand-wash or machine wash; to extend the life of fabric, we do recommend hang drying our quick-dry fabric; always ensure fabric is completely dry before storing    
",: ‎ TT-Z12-WETBAG,unknown,B0B25B5PB6
282,"   Gym bag with Adjustable shoulder strap.; Material: Water Resistance Polyester Fabric <br>    Dimensions: 17.00x9.25x9.00 Inches [WxHxD] <br>    Roomy zip closure compartment active life style bag <br>    1 year warranty on manufacturing defect <br>    Handle Type: Web Handle; Water Resistance Level: Water Resistant <br>    
",: ‎ 50051046501,unknown,B08M66BVY2
283,"   SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women    PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.    OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.    
",B0BQFVH29F," 
 Introducing the ultimate laptop backpack designed for maximum safety and comfort. Made with durable, water-resistant materials, this backpack keeps your laptop protected from the elements and accidental spills. The padded laptop compartment fits most laptops up to 17 inches, and is specially designed with shock-absorbing foam to keep your device secure and safe from bumps and drops. The backpack also features padded shoulder straps and a padded back panel for added comfort during long commutes or trips. The adjustable shoulder strap helps to distribute the weight evenly across your body, reducing strain on your shoulders and back. In addition to the laptop compartment, the backpack has plenty of room for all of your other essentials, including books, documents, and personal items. The organizer pockets and key clip keep your items organized and easily accessible. Whether you're commuting to work or hitting the trails, this laptop backpack is the perfect choice for keeping your device safe and secure, while also providing maximum comfort on the go. So, it is an ideal choice for people who are looking for a laptop backpack that is both safe and comfortable.  ",Amazing Bags
284,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BR1D4SL1," 
",Acefour Accessories Pvt. Ltd.
285,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded anti-theft laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Pocket under flap and 2 mesh pocket inside main compartment with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BR1C59R8," 
",Acefour Accessories Pvt. Ltd.
286,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage    Right sized with sturdy stitching; Dimension: (28.2 cm x 14.1 cm x 42.2 cm); Warranty: 750 days international warranty    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)    Padded laptop compartment fits up to 14”, Back padding with Air mesh; Front access pocket for you to easily carry important small items with two bottle holders on the sides    
",B0BWNCV31F," 
",Acefour Accessories Pvt. Ltd.
287,"   CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Pink and Grey, Water resistant: Yes <br>    PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 41 cm, Capacity: 16L, Fits up to a 15.4” laptop <br>    MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve. <br>    HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access; MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI) <br>    Compartment Description: Up To 16 Inches; Pattern Name: Solid; Color Name: Modern Love; Lining Description: Polyester; Closure Type: Zipper; Warranty Description: 12 Months Warranty; Age Range Description: Adult <br>    
",Designed By Mokobara Lifestyle Private Limited," 
",: ‎ 13 January 2021
